单词,词性,释义,遗忘次数,记忆次数
misuse,v.,不公平地对待,0,0
mitigate,v.,减缓,0,0
mockery,n.,嘲笑,0,0
mock-up,n.,伪装工事；实物模型,0,0
moderate,v.,使缓和,0,0
modicum,n.,少量,0,0
modish,adj.,时髦的,0,0
mogul,n.,有权势的人,0,0
molder,v.,腐烂， 退化,0,0
mollify,v.,安抚,0,0
momentary,adj.,短暂的,0,0
momentous,adj.,重要的,0,0
monarchy,n.,君主政体,0,0
monger,n.,商人， 贩子,0,0
monochromatic,adj.,单调的,0,0
monogamy,n.,一夫一妻制,0,0
monolithic,adj.,庞大而僵硬的,0,0
monotonous,adj.,单调的,0,0
moody,adj.,喜怒无常的,0,0
moonshine,n.,空话， 假话,0,0
morale,n.,士气,0,0
moralistic,adj.,说教的,0,0
morbid,adj.,不健康的,0,0
mordant,adj.,尖酸刻薄的,0,0
moribund,adj.,濒临死亡的,0,0
morph,v.,变形,0,0
mortify,v.,使...尴尬,0,0
motivate,v.,激励,0,0
mount,v.,上升,0,0
muckrake,v.,揭露丑闻,0,0
muddle,v.,使困惑,0,0
muddy,v.,使...模糊,0,0
multifarious,adj.,各种各样的,0,0
multitudinous,adj.,很多的,0,0
mundane,adj.,平凡的， 无聊的,0,0
murky,adj.,昏暗的,0,0
musty,adj.,恶臭的,0,0
mutual,adj.,相互的， 共同的,0,0
myopic,adj.,缺乏远见的,0,0
myriad,adj.,大量丰富的,0,0
narcissism,n.,自恋,0,0
nascent,adj.,初始的,0,0
natter,v., 唠叨，话多,0,0
naysayer,n.,否定者， 怀疑者,0,0
nebulous,adj.,模糊的， 不清楚的,0,0
necessitate,v.,使成为必要,0,0
needy,adj.,贫穷的,0,0
nefarious,adj.,邪恶的,0,0
negligent,adj.,疏忽大意的,0,0
negligible,adj., 可忽略的，不重要的,0,0
neologism,n.,新词， 新意思,0,0
neophyte,n.,新手,0,0
nepotism,n.,任人唯亲,0,0
nettle,v.,使... 生气,0,0
neutralize,v.,抵消， 使无效,0,0
nexus,n.,连接,0,0
niche,n.,小众市场,0,0
nihilism,n.,虚无主义,0,0
nimble,adj.,灵敏的， 轻快的,0,0
noisome,adj.,有害的， 恶臭的,0,0
nominal,adj.,名义上的,0,0
nonchalant,adj.,漠不关心的,0,0
nondescript,adj.,平庸的,0,0
nonentity,n.,无足轻重的人,0,0
no-nonsense,adj.,直接的，不允许的不相干的事（话）的,0,0
nonplus,v.,使困惑， 使不知所措,0,0
nonsensical,adj.,无意义的,0,0
nostalgia,n.,思乡,0,0
notorious,adj.,臭名昭著的,0,0
notwithstanding,prep.,尽管,0,0
novel,adj.,新颖的,0,0
novice,n.,新手,0,0
noxious,adj.,有害的,0,0
nuance,n.,小差异,0,0
nugatory,adj.,不重要的,0,0
nullify,v.,使...无效,0,0
numinous,adj.,超自然的,0,0
obdurate,adj.,固执的,0,0
obeisance,n.,尊敬， 敬意,0,0
obfuscate,v.,使…困惑,0,0
object,v.,反对,0,0
objectionable,adj.,令人反感的,0,0
objective,adj.,客观的,0,0
objurgation,n.,斥责， 非难,0,0
obligatory,adj.,强制的， 必须的,0,0
oblique,adj.,间接的,0,0
obliterate,v.,抹去， 使...消失,0,0
oblivious,adj.,无意识的， 遗忘的,0,0
obloquy,n.,诋毁，谩骂,0,0
obnoxious,adj.,极其令人反感的,0,0
obscure,adj.,不清晰的，不易辨别的,0,0
obsequious,adj.,谄媚的 ,0,0
observant,adj.,观察仔细的，善于观察的,0,0
obsess,v.,沉迷于…,0,0
obsolete,adj.,过时的,0,0
obstinate,adj.,固执的,0,0
obstreperous,adj.,不服管的，桀骜不驯的,0,0
obstruct,v.,阻碍， 妨碍,0,0
obtrude,v.,强迫， 强加于,0,0
obtrusive,adj.,显著的，突兀的,0,0
obtuse,adj.,愚钝的， 笨的,0,0
obviate,v.,免除,0,0
occasion,v.,引起,0,0
occlude,v.,阻塞,0,0
oddball,n.,古怪的人,0,0
offhand,adj., 即时的；未经准备的,0,0
officious,adj.,爱掺和的， 爱管闲事的,0,0
offish,adj.,冷漠的,0,0
off-key,adj.,出格的， 不正常的,0,0
off-putting,adj.,令人反感的,0,0
offset,v.,抵消,0,0
ominous,adj.,不吉利的,0,0
omit,v.,省略， 忽略,0,0
omnipresent,adj.,处处都有的,0,0
omniscient,adj.,无所不知的,0,0
omnivorous,adj.,杂食的,0,0
one-of-a-kind,n.,独一无二,0,0
onerous,adj.,繁重的， 费力的,0,0
one-stop,adj.,一站式的， 全方位的,0,0
onetime,adj.,过去的， 之前的,0,0
onset,n.,开始,0,0
ooze,v.,渗出,0,0
opaque,adj.,难懂的,0,0
open-ended,adj.,开放的,0,0
opportunistic,adj.,机会主义的， 投机的,0,0
oppressive,adj.,压迫的,0,0
opprobrium,n.,辱骂,0,0
opt,v.,选择,0,0
optimism,n.,乐观,0,0
opulent,adj.,昂贵的,0,0
oracle,n.,预言,0,0
orator,n.,演讲者,0,0
oratorical,adj.,口才的,0,0
ordain,v.,命令,0,0
orientation,n.,取向， 态度,0,0
ornamental,adj.,装饰性的， 美观的,0,0
orthodox,adj.,主流的,0,0
oscillate,v.,犹豫不决,0,0
ostensible,adj.,表面的， 虚假的,0,0
ostentatious,adj.,炫耀的,0,0
oust,v.,驱逐,0,0
outdo,v.,超过， 胜过,0,0
outlandish,adj.,奇异的,0,0
outmoded,adj.,过时的,0,0
outnumber,v.,（数量上）超过,0,0
outrage,v.,使...生气,0,0
outstrip,v.,胜出， 超出,0,0
overbearing,adj.,专横的，压倒性的,0,0
overblow,v.,夸大,0,0
overdue,adj.,延误的， 拖延的,0,0
overextend,v.,过分扩展， 承担过多义务,0,0
overreach,v.,因野心勃勃而失败,0,0
override,v.,否决， 推翻,0,0
overshadow,v., 超出， 超过,0,0
overstate,v.,夸大,0,0
overt,adj.,明显的,0,0
overthrow,v.,推翻,0,0
overweening,adj.,傲慢的，自负的,0,0
overwrought,adj.,情绪激动或不高兴的,0,0
oxymoron,n.,矛盾修饰法,0,0
pacific,adj.,爱好和平的,0,0
paean,n.,赞美,0,0
painstaking,adj.,勤奋努力的,0,0
palatable,adj.,美味的,0,0
palliate,v.,减缓,0,0
palpable,adj.,可感知的,0,0
paltry,n.,少量,0,0
pan,v.,严厉批评,0,0
panacea,n.,万能灵药,0,0
panache,n.,炫,0,0
panegyric,n.,赞文， 赞美,0,0
panoply,n.,大批， 全副（装备）,0,0
panorama,n.,全面展示,0,0
paradigm,n.,典范,0,0
paradoxical,adj.,不寻常的,0,0
paragon,n.,典范， 模范,0,0
paralyze,v.,使...瘫痪,0,0
paraphernalia,n.,行头， 装饰品,0,0
parity,n.,平等,0,0
parley,v., 谈判,0,0
parochial,adj.,地方的,0,0
parody,n.,拙劣的模仿,0,0
parsimony,n.,吝啬,0,0
particularize,v.,详细阐述,0,0
partisan,n.,强硬支持者（盲目的， 偏见的， 不理性的支持）,0,0
passage,n.,(事物从一个状态到另一个状态的)转变,0,0
pastiche,n.,【贬】模仿作品,0,0
pastoral,adj.,乡间生活的,0,0
patchwork,n.,混合物,0,0
patent,adj.,明显的,0,0
pathetic,adj.,可怜的,0,0
pathogen,n.,病原体,0,0
pathological,adj.,极端的,0,0
pathos,n.,怜悯， 同情,0,0
patrimony,n.,继承， 世袭,0,0
patron,n.,赞助人,0,0
patronize,v.,赞助,0,0
paucity,n.,少量,0,0
peaceable,adj. ,和平的，温顺的,0,0
peak,n.,顶点， 顶峰,0,0
peccadillo,n.,小过失,0,0
peculiar,adj.,不寻常的,0,0
pecuniary,adj.,金钱的,0,0
pedagogical,adj.,教育学的,0,0
pedant,n.,卖弄学问的人,0,0
pedantic,adj.,卖弄知识的，迂腐的,0,0
pedestrian,adj.,无聊的， 普通的,0,0
pedigree,n.,血统， 门第,0,0
peerless,adj.,无与伦比的,0,0
pejorative,adj.,轻蔑的（话语）,0,0
penalty,n.,惩罚,0,0
penance,n.,忏悔,0,0
penchant,n.,倾向,0,0
pendulum,n.,（局势）摇摆不定,0,0
penitential,adj.,后悔的， 忏悔的,0,0
pensive,adj.,（悲伤的）思考的,0,0
people,v.,充满,0,0
perceptive,adj.,有洞察力的， 敏锐的,0,0
peregrination,n.,长途旅行，游历,0,0
peremptory,adj.,不容反抗的， 断然的,0,0
perennial,adj.,多年生的（植物）,0,0
perfidious,adj.,不可信赖的,0,0
perforce ,adv.,必然地,0,0
perfunctory,adj.,敷衍的，草率的,0,0
perilous,adj.,危险的,0,0
periodical,adj.,周期的,0,0
peripatetic,adj.,巡游的,0,0
peripheral,adj. ,不重要的,0,0
perishable,adj.,易消亡的， 短暂的,0,0
permanent,adj.,长期稳定的,0,0
pernicious,adj.,有害的， 致命的,0,0
perpetuate,v.,持续， 使...继续,0,0
persevere,v.,坚持,0,0
personable,adj.,品貌兼优的,0,0
perspicacious,adj.,有洞察力的,0,0
perspicuous,adj. ,清晰的， 易懂的,0,0
pertain,v.,与...相关,0,0
pertinacious,adj.,坚持的，固执的,0,0
pertinent,adj.,相关的,0,0
perturb,v.,使...不安,0,0
peruse,v. ,仔细读,0,0
pervasive,adj.,普遍的,0,0
pessimistic,adj.,悲观的,0,0
petty,adj.,不重要的， 次要的,0,0
petulant,adj.,（说话， 行为）粗鲁无礼的,0,0
phenomenal,adj.,出众的,0,0
philistine,n.,庸俗的人,0,0
phlegmatic,adj.,性格冷淡的,0,0
physical,adj.,实体的,0,0
piecemeal,adv.,一次少量地，一件一件地,0,0
piety,n.,虔诚,0,0
pilfer,v.,盗用,0,0
pillage,v.,掠夺,0,0
pillory,v.,批评,0,0
pine,v.,渴望,0,0
pinnacle,n.,顶点,0,0
pious,adj.,信仰虔诚的,0,0
pique,v.,激怒， 惹怒,0,0
pitfall,n.,陷阱,0,0
pithy,adj., 简洁有力的,0,0
pivotal,adj.,非常重要的,0,0
placate,v.,安抚,0,0
placid,adj.,平静的,0,0
plagiarize,v.,抄袭,0,0
plague,v.,困扰,0,0
plaintive,adj.,痛苦的,0,0
plangent,adj.,悲哀的,0,0
plastic,adj.,能适应的，灵活的,0,0
platitude ,n.,陈词滥调,0,0
platitudinous,adj.,平凡的，陈腐的,0,0
plaudit,n.,鼓掌，喝彩，赞扬,0,0
plausible,adj.,看起来合理的,0,0
playwright,n.,剧作家,0,0
plead,v.,辩护,0,0
plebeian,n.,平民，粗俗的人,0,0
pledge,v.,保证， 许诺,0,0
plentiful,adj.,慷慨的,0,0
plethora,n. ,大量,0,0
pliable,adj.,易受影响的,0,0
plod,v.,（勤奋而单调地）工作,0,0
ploy ,n.,策略,0,0
plunder,v.,掠夺,0,0
poise,v.,使平衡,0,0
polarize,v.,使...两极化,0,0
polemical,adj.,（爱) 争辩的,0,0
polyglot,adj.,多语的,0,0
polymath,n.,博学的人,0,0
pompous,adj.,过于华丽的,0,0
ponder,v.,沉思， 仔细思考,0,0
ponderous,adj.,笨重的,0,0
porous,adj. ,可渗透的,0,0
portend,v.,预示， 预兆,0,0
portentous,adj.,不吉利的,0,0
posit,v.,假定， 假设,0,0
postulate,v.,假设， 假定,0,0
posture,n.,态度， 立场,0,0
potent,adj.,有权势的，有权力的,0,0
pragmatic,adj.,实际的,0,0
preachy,adj.,说教的， 好为人师的,0,0
precarious,adj.,处境危险的,0,0
precede,v.,领先， 在…之前,0,0
precedent,n.,先例,0,0
precipitate,v.,加速,0,0
preclude,v.,阻止,0,0
precocious,adj.,早熟的,0,0
precursor,n. ,先驱,0,0
predate,v.,先于,0,0
predetermine,v.,预先决定,0,0
predicament,n.,困境,0,0
predicate,v.,基于， 取决于,0,0
predilection,n.,倾向， 偏好,0,0
predispose,v.,使....易受感染,0,0
predominant,adj.,最显著的， 主导的,0,0
preeminent,adj.,杰出的， 独一无二的,0,0
preempt,v.,阻止， 先发制人,0,0
prefigure,v.,预示,0,0
premature,adj.,过早的,0,0
premeditate,v.,预谋， 提前谋划,0,0
premise,n.,前提,0,0
premonitory,adj.,警告的,0,0
preoccupied,adj.,专注的,0,0
preponderance ,n.,(数量上的）优势,0,0
prepossessing,adj.,有吸引力的,0,0
prerogative,n.,特权,0,0
presage,v.,预测， 预言,0,0
prescience,n.,先知,0,0
prescribe,v.,规定,0,0
preservationist,n.,保护主义者,0,0
preside,v.,主持， 负责,0,0
pressing,adj.,紧急的,0,0
prestige,n.,声望， 声誉,0,0
presuppose,v.,假定,0,0
pretentious,adj.,炫耀的,0,0
preternatural,adj.,异乎寻常的,0,0
pretext,n.,借口,0,0
prevail,v.,流行,0,0
prevalent,adj.,流行的， 普遍的,0,0
prevaricate,v.,搪塞， 闪烁其词,0,0
primacy,n.,首要， 首位,0,0
prime,v.,使...准备好,0,0
primitive,adj.,原始的,0,0
prioritize,v.,使…优先,0,0
pristine,adj.,原始的,0,0
privation,n. ,贫穷，匮乏,0,0
probe,v.,仔细调查,0,0
proclaim,v.,宣布,0,0
proclivity,n.,倾向， 偏好,0,0
procure,v.,获得,0,0
prodigal,adj.,奢侈浪费的,0,0
prodigious,adj., 惊人的,0,0
prodigy,n.,神童,0,0
profess,v.,宣称,0,0
proffer,v.,提供,0,0
profit-monger,n.,贪婪的人,0,0
profligate,adj.,奢侈的， 花钱大手大脚的,0,0
profound,adj.,深刻的,0,0
profusion,n.,大量,0,0
progenitor,n.,先驱,0,0
progeny,n.,子孙， 后裔,0,0
prognosis,n. ,诊断,0,0
prohibitive,adj.,昂贵的,0,0
project,v.,投掷,0,0
proliferate,v.,快速增长,0,0
prolific,adj.,多产的,0,0
prolix,adj.,冗长的,0,0
prominent,adj.,著名的,0,0
promise,n.,前景光明,0,0
prompt,v.,促进， 激起,0,0
promulgate,v.,宣布，宣传,0,0
prone,adj.,有倾向的,0,0
pronounced,adj.,显著的， 明显的,0,0
proofread,v., 校对,0,0
propaganda,n.,政治宣传,0,0
propagate,v.,宣扬， 宣传,0,0
prophet,n.,先知， 预言者,0,0
prophetic,adj.,预言的,0,0
prophylactic,adj.,预防性的,0,0
propitiate,v.,安抚,0,0
propitious,adj.,吉祥的， 吉利的,0,0
proponent,n.,支持者,0,0
propound,v.,提出…供考虑,0,0
proprietary,adj.,私有的,0,0
prosaic,adj.,普通寻常的,0,0
proscribe,v.,禁止,0,0
prose,adj.,平凡的， 乏味的(与prosaic相同）,0,0
prosecute,v.,从事,0,0
proselytize,v.,劝诱， 使变节,0,0
prospect,n.,前景,0,0
protagonist,n.,重要人物,0,0
protean,adj.,多样的,0,0
prototype,n.,典型,0,0
protract,v.,延长,0,0
provenance,n.,出处， 起源,0,0
proverbial,adj.,家喻户晓的,0,0
provident,adj.,节俭的,0,0
providential,adj.,幸运的， 凑巧的,0,0
provincial,adj.,眼光狭隘的,0,0
provision,n.,预备， 预先采取的措施,0,0
provisional,adj.,临时的,0,0
provocative,adj.,引起争论的，启发的,0,0
provoke,v.,激起,0,0
prowess,n.,（超凡的）技巧， 能力,0,0
proximity,n.,距离近,0,0
prudent,adj.,谨慎的,0,0
prying,adj.,窥视的,0,0
pseudonym,n.,假名,0,0
puerile,adj.,稚嫩的， 幼稚的,0,0
pugnacious,adj.,好争斗的,0,0
punctilious,adj.,(对行为)谨慎小心的,0,0
puncture,v.,刺穿,0,0
purport,n.,中心思想,0,0
purposeful,adj.,有目的的， 故意的,0,0
pursuit,n.,事业,0,0
purveyor,n.,供应商,0,0
purview,n.,视野,0,0
pushover,n.,易被打败的人,0,0
putative,adj.,公认的， 假定的,0,0
quaff,v.,大口喝， 痛饮,0,0
qualify,v.,限制,0,0
qualm,n.,不安,0,0
quandary ,n.,困境,0,0
quash,v.,废止， 使无效,0,0
quell,v., 压制， 镇压,0,0
querulous,adj.,抱怨的,0,0
query,v.,怀疑，提出疑问,0,0
quibbler,n.,吹毛求疵的人,0,0
quiescent,adj.,静止的， 不活跃的,0,0
quintessential,adj.,精华的， 典型的,0,0
quip,n.,机智幽默的评论,0,0
quirky,adj.,奇怪的， 古怪的,0,0
quiver,v.,战栗,0,0
quixote,n.,爱空想的人,0,0
quixotic,adj.,不切实际的,0,0
quizzical,adj.,好奇而疑惑的,0,0
quotidian,adj.,普通的,0,0
radical,adj.,极端的，激进的,0,0
rail,v.,抨击， 批评,0,0
raillery,n.,打趣,0,0
rambling,adj.,跑题的， 冗长的,0,0
ramification,n.,结果， 后果,0,0
ramify,v.,使分叉,0,0
rampant,adj.,广泛的,0,0
ramshackle,adj.,摇摇欲坠的,0,0
rancor,n.,憎恨,0,0
rankle,v.,使...生气， 愤怒,0,0
rant,v.,辱骂,0,0
rapacious,adj.,贪婪的,0,0
rapprochement, n.,友好， 和谐,0,0
rationale,n.,理由,0,0
rattle,v.,扰乱,0,0
realm,n.,领域,0,0
rebellious,adj.,反抗的， 难控制的,0,0
rebound,v.,从挫败中恢复,0,0
rebuff,n.,（粗鲁的）回复,0,0
rebuke,v.,指责， 非难,0,0
rebut,v.,驳斥,0,0
recalcitrant,adj.,顽固的,0,0
recant,v.,（公开正式的）否认,0,0
recapitulate,v.,总结,0,0
recipe,n.,秘诀， 方法,0,0
reckless,adj.,粗心的， 鲁莽的,0,0
recoil,v.,畏缩,0,0
recollect,v.,记忆,0,0
reconcile,v.,调和,0,0
recondite,adj.,难懂的,0,0
recrudesce,v.,复发,0,0
recrudescent,adj.,复发的,0,0
recruit,v.,招募,0,0
rectitude,n.,正直,0,0
recuse,v.,取消资格,0,0
redeem,v.,赎罪,0,0
redolent,adj.,芬芳的,0,0
redoubtable,adj.,令人肃然起敬的,0,0
redundant ,adj.,重复的， 冗余的， 赘述的,0,0
refine,v.,提纯,0,0
reflective,adj.,反思的， 沉思的,0,0
refractory,adj.,不服管的，难处理的,0,0
refuge,n.,避难所,0,0
refute,v.,驳倒， 否认,0,0
regimen,n.,统治， 政府统治,0,0
regressive,adj.,退化的,0,0
rehabilitate,v.,恢复,0,0
rehash,v.,（没有实质改变地)重提,0,0
rein,n.,（马的）缰绳,0,0
reiterate,v.,重复强调,0,0
rejuvenate,adj.,使...重新有活力,0,0
relegate,v.,降低,0,0
reliable,adj.,（结论、模型等）可靠的,0,0
relinquish,v.,放弃,0,0
relish,v.,喜爱,0,0
reluctant,adj.,不情愿的,0,0
remedy,v.,补救， 完善,0,0
reminiscent,adj.,引起回忆的,0,0
remiss,adj. ,粗心的，疏忽大意的,0,0
remonstrate,v.,反对， 抗议,0,0
remuneration,n.,酬金,0,0
renaissance,n.,复苏,0,0
render,v.,使...进入某种状态,0,0
renegade,n.,叛徒,0,0
renounce,v.,拒绝， 否认,0,0
renowned,adj.,出名的,0,0
reparation,n.,修理,0,0
repertoire,n. ,全部节目,0,0
replenish,v.,补充， 修复,0,0
replete,adj.,充满的,0,0
reprehensible,adj.,应受指责的,0,0
reprisal,n.,报复,0,0
reproach,v.,斥责， 批评,0,0
repudiate,v.,否认， 拒绝,0,0
repugnant,adj.,令人厌恶的,0,0
requisite,adj.,必要的,0,0
rescind,v.,废除（法律）,0,0
resemble,v.,与...相似,0,0
resent,v.,憎恨， 生气,0,0
reserved,adj.,沉默寡言的,0,0
residual,adj.,剩余的， 残留的,0,0
resign,v.,接受,0,0
resilient,adj.,能（从困境中）恢复的,0,0
resolve,v.,决定， 决心要做,0,0
resonate,v.,回响,0,0
resourceful,adj.,足智多谋的,0,0
respite,n.,暂歇， 休息,0,0
restive,adj.,不服管理的,0,0
restless,adj.,不安的,0,0
resume,v. ,恢复,0,0
resurgence,n.,复苏,0,0
retain,v.,保持,0,0
retention,n.,保留,0,0
reticent,adj.,沉默寡言的,0,0
retiring,adj.,羞涩的， 不善交际的，谦逊的,0,0
retract,v.,收回，否认,0,0
retrenchment,n.,削减（尤指经费）,0,0
retribution,n.,惩罚,0,0
retrofit,v.,翻新,0,0
revel,v.,陶醉,0,0
revelation,n.,揭露,0,0
revere,v.,尊敬,0,0
revile,v.,辱骂， 斥责,0,0
revisionist,n.,修正主义者,0,0
revitalize,v.,使...复活,0,0
revive,v.,使...复苏,0,0
revolt,v.,反叛， 反抗,0,0
rhapsody,n.,慷慨激昂的说辞,0,0
rhetorical,adj.,有说服力的,0,0
riddle,n.,难题， 谜题,0,0
ridicule,v.,嘲笑， 耻笑,0,0
rife,adj.,非常普遍的,0,0
rigid,adj.,僵硬的,0,0
rigorous,adj.,严格的,0,0
rile,v.,使...生气,0,0
riot,n.,暴乱,0,0
rivalry ,n.,竞争， 对抗,0,0
rive,v.,劈开,0,0
riveting,adj.,吸引人的,0,0
robust,adj.,强壮的,0,0
roil,v.,使...混乱,0,0
romanticize,v.,理想化,0,0
roost,v.,栖息,0,0
rosy,adj.,乐观的,0,0
rote,n.,死记硬背,0,0
row,n.,(多人之间的)争吵,0,0
rudimentary,adj.,基本的,0,0
rue,n.,后悔,0,0
ruminate,v.,仔细思考,0,0
rummage ,v.,仔细检查,0,0
run-of-the-mill,adj.,平凡的,0,0
ruthless,adj.,无情的， 残忍的,0,0
sabotage,v.,故意破坏,0,0
sacrosanct,adj.,神圣而不可侵犯的,0,0
safeguard,v.,保护,0,0
sagacious,adj.,聪明的， 睿智的,0,0
sage,adj.,智慧的,0,0
salient,adj.,明显的， 显眼的,0,0
salubrious,adj.,有益健康的,0,0
salutary,adj.,有益的， 有益健康的,0,0
sanctimonious,adj.,假装道德高尚的， 假正经的,0,0
sanction,v.,支持,0,0
sanguine,adj.,乐观的,0,0
sap,n.,活力,0,0
sardonic,adj.,嘲讽的， 讥笑的,0,0
sartorial,adj.,与衣服相关的,0,0
sate,v.,使…厌倦， 使...腻烦,0,0
satire,n.,讽刺， 嘲讽,0,0
saturate,v. ,填满,0,0
savor,v.,享受,0,0
savvy,adj.,有见识的,0,0
scandalous,adj.,令人震惊的， 反感的,0,0
scant,adj.,稀缺的,0,0
scarce,adj.,缺乏的,0,0
scathing,adj.,尖酸刻薄的,0,0
scatter,v.,分散,0,0
scenario,n.,情形,0,0
schism ,n.,分裂,0,0
scintillating,adj.,生动有趣的，机智幽默的,0,0
score,v.,获得....成就,0,0
scorn,v.,鄙视， 嘲笑,0,0
screed,n.,冗长，单调的说话或者文章,0,0
scribble,v.,草率地写画,0,0
scrupulous,adj.,小心谨慎的,0,0
scrutinize,v.,仔细检查,0,0
scuffle,v. ,扭打,0,0
seamy,adj.,丑恶的,0,0
seclusion,n.,隔离， 隐居,0,0
second,v.,同意,0,0
secretive,adj.,鬼鬼祟祟的， 秘密的,0,0
sectarian,adj.,狭隘的,0,0
secular,adj.,世俗的,0,0
seditious,adj.,煽动叛乱的,0,0
seemly,adj.,好看的,0,0
seethe,v.,强压怒火， 生闷气,0,0
segregate,v.,分离， 隔离,0,0
self-defeating,adj.,违背自己利益的， 弄巧成拙的,0,0
self-regard,n.,自私自利,0,0
self-righteous,adj.,自以为是的,0,0
self-serving,adj.,自私的,0,0
self-styled,adj.,自称的,0,0
seminal,adj.,非常有影响力的,0,0
senescence,n.,衰老,0,0
sensational,adj.,极好的,0,0
sensuous ,adj.,赏心悦目的,0,0
sententious,adj.,简洁的;说教的,0,0
sentimental,adj.,感情用事的,0,0
sequel,n.,后续，后果,0,0
sequential,adj.,有序的,0,0
sequester,v.,分离， 隔离,0,0
serendipitous,adj.,偶然的,0,0
setback,n.,挫折,0,0
sever,v.,打碎， 分裂,0,0
severe,adj.,严厉的,0,0
shackle,v. ,阻碍,0,0
shallow,adj.,肤浅的,0,0
sham,adj.,虚假的,0,0
shear,v.,剪（动物）毛,0,0
shed,v.,去除，除去,0,0
sheer,adj.,完全的,0,0
shelve,v.,搁置,0,0
shoddy,adj.,劣质的,0,0
shortcut,n.,捷径,0,0
shorthand,n.,速记,0,0
shoulder,v.,承担,0,0
showcase,v.,展示,0,0
shriek,v.,叫喊， 尖叫,0,0
shrill,v.,尖叫,0,0
shrink,v.,缩小,0,0
shun,v.,躲避,0,0
sideshow,n.,附带事件，小事,0,0
sidestep,v.,回避， 绕过,0,0
sift,v.,分离， 筛选,0,0
simpleton,n.,呆子，傻子,0,0
simplistic,adj.,过于简化的,0,0
simultaneous,adj.,同时的,0,0
sinister,adj.,邪恶的,0,0
siphon,v.,抽走（资金， 资源）,0,0
sketchy,adj.,粗略的,0,0
skew,v.,歪曲， 曲解,0,0
skim,v.,浏览,0,0
skirt,v.,回避， 避开（话题）,0,0
skittish,adj.,多变的,0,0
skullduggery,n.,欺骗， 作假 ,0,0
slapdash,adj.,草率的， 粗心大意的,0,0
slavish,adj.,缺乏创造力的，盲目模仿的,0,0
sleazy,adj.,低俗的， 龌龊的,0,0
sleek,adj.,光滑的,0,0
slender,adj.,缺少的， 不足的,0,0
slight,v.,轻视,0,0
slinky,adj.,鬼鬼祟祟的,0,0
slippery,adj.,滑的,0,0
slipshod,adj.,粗心大意的,0,0
sloth,n.,懒惰,0,0
sluggish,adj.,迟钝的,0,0
slump,v.,急速下跌,0,0
slur,n.,诽谤,0,0
smother,v.,使...窒息,0,0
snag,n.,故障， 问题,0,0
snappish,adj.,厉声说话的， 暴躁的,0,0
snapshot,n.,大致情况， 简介,0,0
snare,n.,陷阱,0,0
snob,n.,势利小人,0,0
snobbish,adj.,自命不凡的,0,0
snub,v.,怠慢， 不理睬,0,0
sober,adj.,严肃认真的,0,0
soft-pedal,v.,弱化， 减缓...的影响,0,0
solace,v. ,安慰,0,0
solicitous,adj.,关心的， 殷切的,0,0
solidarity,n.,团结,0,0
solitary,adj.,单独的,0,0
solitude,n.,孤独,0,0
somber,adj.,严肃的， 悲伤的,0,0
somnolent,adj.,无聊的， 令人昏昏欲睡的,0,0
sonorous,adj.,声音洪亮的,0,0
soothsayer,n.,预言家,0,0
sophist,n.,哲学家,0,0
sophisticated,adj.,精于世故的， 老练的,0,0
soporific,adj.,令人昏昏欲睡的,0,0
sound,adj.,状态良好的,0,0
spacious,adj.,宽敞的,0,0
sparkling,adj.,闪闪发光的,0,0
spartan,adj.,简朴的,0,0
spearhead,n.,先锋部队,0,0
specific,adj.,独特的,0,0
specious,adj.,似是而非的，假的,0,0
speculate,v.,推测， 猜测,0,0
spell,n.,（一段）时间,0,0
spendthrift,n.,挥霍的人,0,0
spew,v.,喷出， 涌出,0,0
spike,v.,（短期大幅）上升,0,0
spiteful,adj.,恶毒的,0,0
splendor,n.,光辉， 壮丽,0,0
spontaneous,adj.,自主的， 自发的,0,0
sporadic,adj.,不规律的，偶发的，随机的,0,0
spunk,n.,勇气,0,0
spur,v.,刺激,0,0
spurious,adj. ,假的,0,0
spurn,v.,因鄙视而拒绝,0,0
squander,v.,浪费，挥霍,0,0
square,v.,符合，一致,0,0
stagger,v.,使...震惊,0,0
stagnate,v.,停滞,0,0
staid,adj.,沉着的，严肃的,0,0
stale,adj.,不新鲜的,0,0
stalemate,n.,僵局,0,0
stalwart,adj.,坚定的， 忠诚的,0,0
stanch,v.,阻止,0,0
standstill,n.,静止， 停滞,0,0
staple,adj.,（食物， 商品等）必要的,0,0
static,adj.,静态的,0,0
staunch,adj.,坚定的，忠诚的,0,0
steadfast,adj.,坚定不移的,0,0
stem,v.,阻止， 限制,0,0
sterling,adj.,高质量的,0,0
stickler,n.,坚持…的人,0,0
stifle,v.,抑制,0,0
stigma,n.,污点,0,0
still,adj.,静止的,0,0
stilted,adj.,不自然的， 僵硬的,0,0
stipulate,v.,规定,0,0
stoic,adj.,不以苦乐为意的，淡泊的,0,0
stomach,v.,容忍,0,0
stonewall,v.,拒绝合作,0,0
straddle,v.,横跨,0,0
straggle,v.,迷路,0,0
stratify,v.,分层级,0,0
streamline,v.,简化,0,0
strenuous,adj.,费力的,0,0
strident,adj.,尖锐的， 刺耳的,0,0
stringent,adj.,非常严格的,0,0
studied,adj.,深思熟虑的,0,0
stunning,adj.,令人印象深刻的,0,0
stupefaction,n.,非常惊讶或惊慌失措,0,0
stymie,v.,阻碍,0,0
subdue,v.,征服， 打败,0,0
subject,v.,屈服,0,0
